industry,company_code,company_name,company_total_salary,company_employee_count,company_110average_salary,company_109average_salary,company_110median_salary,company_109median_salary,company_eps,industry_average_salary,industry_average_eps,is_under_50w,high_eps_low_salary,growth_but_low_salary,low_salary_reason
生技醫療業,4138,曜亞,89499000,104,861000,889000,743000,719000,4.11,714000,1.39,,,V,"因業務擴編增加聘用人員.總用人數成長11%,總薪資成長7%二者未能同等成長,係因:增聘之同仁薪資反應其擁有與本公司工作相關較低之經驗年資,造成與原資深在職同仁間有所差距故整體平均薪資減少屬正常現象."
生技醫療業,4147,中裕,71926000,74,972000,921000,759000,743000,-1.87,714000,1.39,,,,
生技醫療業,4153,鈺緯,105113000,138,762000,713000,667000,630000,0.37,714000,1.39,,,,
生技醫療業,4160,創源,120400000,143,842000,751000,742000,615000,0.32,714000,1.39,,,,
生技醫療業,4161,聿新科,66964000,146,459000,514000,418000,454000,0.47,714000,1.39,V,,V,因疫情關係，109年度公司經營績效較差(EPS-1.24)，110年度疫情有較趨緩，110年度公司經營續效(EPS0.47)，故相較109年度表現較佳；110年度需求人力為基層生產線人員，故薪資平均數較前109年度減少。
生技醫療業,4162,智擎,52884000,26,2034000,2348000,1829000,2564000,2.95,714000,1.39,,,,
生技醫療業,4163,鐿鈦,425448000,689,617000,606000,512000,495000,4.73,714000,1.39,,V,,生技醫療產業之業態多樣，本公司參酌市場之薪資水準、員工資歷及個人表現等因素給薪，且員工薪資平均數及中位數均較109年增加，故實屬合理。
生技醫療業,4167,松瑞藥,289306000,445,650000,611000,601000,564000,0.03,714000,1.39,,,,
生技醫療業,4168,醣聯,27583000,39,707000,674000,657000,649000,-1.78,714000,1.39,,,,
農業科技,4171,瑞基,89040000,111,802000,806000,858000,733000,9.01,675000,3.94,,,V,因110年度新到職員工(6個月以下)較109年度比率多，且多為一般職等，又因年終獎金及員工酬勞等，針對年資未滿一年員工，係依任職日期比率計算，故EPS雖較前一年度增加，非經理人之全時員工薪資平均數較前一年度略減。
生技醫療業,4173,久裕,121998000,185,659000,685000,600000,645000,0.74,714000,1.39,,,V,一、平均薪資下降主因：110年營業收入下降，致業務人員績效獎金減少。二、EPS成長主係110年度營業成本及費用撙節所致。
生技醫療業,4174,浩鼎,107108000,101,1060000,1032000,918000,904000,-7.69,714000,1.39,,,,
生技醫療業,4175,杏一,512041000,961,533000,530000,487000,483000,1.97,714000,1.39,,V,,本公司分類為生技醫療業，但經營模式及資本結構較似貿易百貨業，營運項目主要以銷售醫療用品及健康照護商品為主，末端門市販售人員約占80%，非研發性質之生技公司，故與其他生技醫療業之薪資結構有所差異。
生技醫療業,4183,福永生技,77190000,113,683000,691000,536000,588000,0.78,714000,1.39,,,,
生技醫療業,4188,安克,16291000,19,857000,843000,727000,661000,-0.48,714000,1.39,,,,
生技醫療業,4192,杏國,32342000,44,735000,731000,689000,657000,-4.04,714000,1.39,,,,
生技醫療業,4198,欣大健康,16814000,25,673000,919000,585000,823000,-1.3,714000,1.39,,,V,"由於110年度新增之口罩工廠僱用非主管職全時員工人數較前年度增加逾一倍, 且其職務非高度技術密集,薪資結構與水平亦與前期有所差異,故平均薪資較上期為低."
